臺北市	中正區	100
臺北市	大同區	103
臺北市	中山區	104
臺北市	松山區	105
臺北市	大安區	106
臺北市	萬華區	108
臺北市	信義區	110
臺北市	士林區	111
臺北市	北投區	112
臺北市	內湖區	114
臺北市	南港區	115
臺北市	文山區	116
基隆市	仁愛區	200
基隆市	信義區	201
基隆市	中正區	202
基隆市	中山區	203
基隆市	安樂區	204
基隆市	暖暖區	205
基隆市	七堵區	206
新北市	萬里區	207
新北市	金山區	208
新北市	板橋區	220
新北市	汐止區	221
新北市	深坑區	222
新北市	石碇區	223
新北市	瑞芳區	224
新北市	平溪區	226
新北市	雙溪區	227
新北市	貢寮區	228
新北市	新店區	231
新北市	坪林區	232
新北市	烏來區	233
新北市	永和區	234
新北市	中和區	235
新北市	土城區	236
新北市	三峽區	237
新北市	樹林區	238
新北市	鶯歌區	239
新北市	三重區	241
新北市	新莊區	242
新北市	泰山區	243
新北市	林口區	244
新北市	蘆洲區	247
新北市	五股區	248
新北市	八里區	249
新北市	淡水區	251
新北市	三芝區	252
新北市	石門區	253
宜蘭縣	宜蘭市	260
宜蘭縣	頭城鎮	261
宜蘭縣	礁溪鄉	262
宜蘭縣	壯圍鄉	263
宜蘭縣	員山鄉	264
宜蘭縣	羅東鎮	265
宜蘭縣	三星鄉	266
宜蘭縣	大同鄉	267
宜蘭縣	五結鄉	268
宜蘭縣	冬山鄉	269
宜蘭縣	蘇澳鎮	270
宜蘭縣	南澳鄉	272
新竹市		300
新竹縣	竹北市	302
新竹縣	湖口鄉	303
新竹縣	新豐鄉	304
新竹縣	新埔鎮	305
新竹縣	關西鎮	306
新竹縣	芎林鄉	307
新竹縣	寶山鄉	308
新竹縣	竹東鎮	310
新竹縣	五峰鄉	311
新竹縣	橫山鄉	312
新竹縣	尖石鄉	313
新竹縣	北埔鄉	314
新竹縣	峨眉鄉	315
桃園市	中壢區	320
桃園市	平鎮區	324
桃園市	龍潭區	325
桃園市	楊梅區	326
桃園市	新屋區	327
桃園市	觀音區	328
桃園市	桃園區	330
桃園市	龜山區	333
桃園市	八德區	334
桃園市	大溪區	335
桃園市	復興區	336
桃園市	大園區	337
桃園市	蘆竹區	338
臺中市	中區	400
臺中市	東區	401
臺中市	南區	402
臺中市	西區	403
臺中市	北區	404
臺中市	北屯區	406
臺中市	西屯區	407
臺中市	南屯區	408
臺中市	太平區	411
臺中市	大里區	412
臺中市	霧峰區	413
臺中市	烏日區	414
臺中市	豐原區	420
臺中市	后里區	421
臺中市	石岡區	422
臺中市	東勢區	423
臺中市	和平區	424
臺中市	新社區	426
臺中市	潭子區	427
臺中市	大雅區	428
臺中市	神岡區	429
臺中市	大肚區	432
臺中市	沙鹿區	433
臺中市	龍井區	434
臺中市	梧棲區	435
臺中市	清水區	436
臺中市	大甲區	437
臺中市	外埔區	438
臺中市	大安區	439
高雄市	新興區	800
高雄市	前金區	801
高雄市	苓雅區	802
